11.08.2020	11	8	2020	0	0	Afghanistan	AF	AFG	38041757	Asia	1,80328159
10.08.2020	10	8	2020	0	0	Afghanistan	AF	AFG	38041757	Asia	2,07929408
09.08.2020	9	8	2020	39	5	Afghanistan	AF	AFG	38041757	Asia	2,35793526
08.08.2020	8	8	2020	78	9	Afghanistan	AF	AFG	38041757	Asia	2,57348786
07.08.2020	7	8	2020	41	0	Afghanistan	AF	AFG	38041757	Asia	2,65234858
06.08.2020	6	8	2020	67	4	Afghanistan	AF	AFG	38041757	Asia	2,57874525
05.08.2020	5	8	2020	82	6	Afghanistan	AF	AFG	38041757	Asia	2,89681678
04.08.2020	4	8	2020	37	4	Afghanistan	AF	AFG	38041757	Asia	2,97567749
03.08.2020	3	8	2020	0	1	Afghanistan	AF	AFG	38041757	Asia	3,2464326
02.08.2020	2	8	2020	0	0	Afghanistan	AF	AFG	38041757	Asia	3,70382472
01.08.2020	1	8	2020	168	12	Afghanistan	AF	AFG	38041757	Asia	3,73536901
31.07.2020	31	7	2020	71	0	Afghanistan	AF	AFG	38041757	Asia	3,86943221
